palabra,idioma
talde,euskara
hori,euskara
orain,euskara
7.300,euskara
urte,euskara
inguru,euskara
iritsi,euskara
zen,euskara
Iberiar,euskara
penintsulara,euskara
[,euskara
47,euskara
],euskara
.,euskara
Duela,euskara
5.000,euskara
urte,euskara
inguru,euskara
indoeuroperarekin,euskara
lotuta,euskara
legokeen,euskara
Yamnaya,euskara
kultura,euskara
iritsi,euskara
zen,euskara
[,euskara
48,euskara
],euskara
[,euskara
49,euskara
],euskara
.,euskara
Herri,euskara
"horiek,",euskara
bereziki,euskara
zeltek,euskara
",",euskara
ekarri,euskara
zuten,euskara
Neolitoa,euskara
Euskal,euskara
Herrira,euskara
.,euskara
Neolitoaren,euskara
ezaugarria,euskara
lehenengo,euskara
aldiz,euskara
nekazaritza,euskara
eta,euskara
abeltzaintza,euskara
agertzea,euskara
izan,euskara
zen.,euskara
Euskal,euskara
Herrian,euskara
garia,euskara
",",euskara
artatxikia,euskara
",",euskara
oloa,euskara
...,euskara
agertu,euskara
ziren,euskara
eta,euskara
txakur,euskara
",",euskara
zaldi,euskara
eta,euskara
ardiak,euskara
etxekotu,euskara
ziren,euskara
[,euskara
50,euskara
],euskara
.,euskara
Antzinaroa,euskara
Euskal,euskara
tribuak,euskara
Erromatarren,euskara
garaian,euskara
Datu,euskara
gutxi,euskara
daude,euskara
Erromatarren,euskara
garaiko,euskara
inguruko,euskara
tribuen,euskara
kokapena,euskara
jakiteko.,euskara
Antzinako,euskara
Erroma,euskara
gaur,euskara
egungo,euskara
Euskal,euskara
Herrira,euskara
iritsi,euskara
"zenean,",euskara
hainbat,euskara
ziren,euskara
eremu,euskara
horretan,euskara
bizi,euskara
ziren,euskara
herriak,euskara
[,euskara
51,euskara
],euskara
[,euskara
52,euskara
],euskara
:,euskara
baskoiak,euskara
gutxi,euskara
gorabehera,euskara
gaur,euskara
egungo,euskara
Nafarroan,euskara
bizi,euskara
ziren;,euskara
barduliarrak,euskara
Gipuzkoa,euskara
eta,euskara
Araba,euskara
"ekialdean,",euskara
Deba,euskara
ibaiaren,euskara
ekialdean;,euskara
karistiarrak,euskara
Deba,euskara
ibaitik,euskara
Nerbioi,euskara
ibairaino;,euskara
gaur,euskara
egungo,euskara
Bizkaiko,euskara
mendebaldean,euskara
autrigoiak,euskara
bizi,euskara
ziren,euskara
[,euskara
53,euskara
],euskara
;,euskara
Araba,euskara
eta,euskara
Nafarroako,euskara
"hegoaldean,",euskara
eta,euskara
Ebro,euskara
ibaiaren,euskara
hegoaldean,euskara
beroiak,euskara
bizi,euskara
ziren;,euskara
"azkenik,",euskara
akitaniarrak,euskara
Ipar,euskara
Euskal,euskara
Herrian,euskara
eta,euskara
iparralderago,euskara
bizi,euskara
ziren.,euskara
Tentagarria,euskara
izan,euskara
badaiteke,euskara
"ere,",euskara
bereizketa,euskara
horrek,euskara
ez,euskara
du,euskara
zerikusirik,euskara
euskalkiekin,euskara
",",euskara
askoz,euskara
geroago,euskara
sortu,euskara
baitziren,euskara
[,euskara
54,euskara
],euskara
.,euskara
Egile,euskara
batzuen,euskara
"arabera,",euskara
leinu,euskara
horiek,euskara
guztiak,euskara
euskaldunak,euskara
"ziren,",euskara
toponimiak,euskara
eta,euskara
onomastikak,euskara
adierazten,euskara
duten,euskara
bezala,euskara
[,euskara
55,euskara
],euskara
.,euskara
Beste,euskara
ikerketa,euskara
batzuen,euskara
"arabera,",euskara
egoera,euskara
korapilotsuagoa,euskara
zen:,euskara
beroiak,euskara
zeltak,euskara
"ziren,",euskara
baina,euskara
ez,euskara
zeltiberiarrak,euskara
[,euskara
56,euskara
],euskara
.,euskara
Ikerketa,euskara
batzuen,euskara
"arabera,",euskara
autrigoiak,euskara
ere,euskara
zeltak,euskara
zirela,euskara
uste,euskara
"da,",euskara
haien,euskara
hiri,euskara
batzuen,euskara
-briga,euskara
amaiera,euskara
dela,euskara
eta,euskara
[,euskara
57,euskara
],euskara
[,euskara
58,euskara
],euskara
",",euskara
baina,euskara
egun,euskara
"-briga,",euskara
ez,euskara
da,euskara
beti,euskara
zeltiar,euskara
izenen,euskara
"ezaugarria,",euskara
erromatarrek,euskara
erabili,euskara
zutelako,euskara
garai,euskara
"batean,",euskara
eurek,euskara
sortutako,euskara
herri,euskara
berri,euskara
askori,euskara
izena,euskara
emateko,euskara
[,euskara
59,euskara
],euskara
.,euskara
Erromatarrak,euskara
Ebro,euskara
eta,euskara
Garona,euskara
ibaietatik,euskara
heldu,euskara
ziren.,euskara
"Ebrotik,",euskara
K.a.,euskara
I.,euskara
mendean,euskara
heldu,euskara
ziren,euskara
gerra,euskara
zibilen,euskara
inguruetan.,euskara
Galiaren,euskara
inbasioaren,euskara
garaian,euskara
heldu,euskara
ziren,euskara
Akitaniara,euskara
(K.a.,euskara
46.,euskara
urtean).,euskara
Erromatarrak,euskara
Arku,euskara
Atlantikoan,euskara
nabigatzen,euskara
hasi,euskara
"zirenean,",euskara
kabotajeko,euskara
itsas,euskara
trafikoa,euskara
loratu,euskara
"zen,",euskara
hainbat,euskara
produkturi,euskara
"loturik,",euskara
bereziki,euskara
mea.,euskara
Portu,euskara
naturalen,euskara
aldamenean,euskara
itsasertzeko,euskara
herriak,euskara
sortu,euskara
ziren.,euskara
Bidasoaren,euskara
"bokalean,",euskara
Oisassok,euskara
garrantzi,euskara
handia,euskara
izan,euskara
zuen.,euskara
Erdi,euskara
Aroa,euskara
Baskoien,euskara
antolamendu,euskara
politikoa,euskara
"581ean,",euskara
Bladastes,euskara
duke,euskara
frankoak,euskara
",",euskara
Txilperiko,euskara
I.a,euskara
erregearen,euskara
"agindupean,",euskara
baskoien,euskara
kontrako,euskara
espedizio,euskara
bat,euskara
bidali,euskara
zuen,euskara
Baskoniara;,euskara
[,euskara
60,euskara
],euskara
Baskonia,euskara
hori,euskara
ez,euskara
da,euskara
erromatarren,euskara
garaikoa,euskara
eremu,euskara
"murritza,",euskara
euskal,euskara
herri,euskara
guztiak,euskara
biltzen,euskara
dituen,euskara
errealitate,euskara
bat,euskara
baizik.,euskara
Aldi,euskara
"berean,",euskara
Pirinioez,euskara
"hegoaldera,",euskara
Leovigildo,euskara
errege,euskara
bisigodoak,euskara
erasoei,euskara
ekin,euskara
zien,euskara
baskoien,euskara
kontra,euskara
Zadorra,euskara
"inguruan,",euskara
baita,euskara
inguru,euskara
horretako,euskara
baskoiak,euskara
garaitu,euskara
"ere,",euskara
eta,euskara
Victoriacum,euskara
"sortu,",euskara
egungo,euskara
Gasteizen,euskara
edo,euskara
gertu.,euskara
[,euskara
60,euskara
],euskara
587an,euskara
baskoiak,euskara
aipatzen,euskara
dira,euskara
egungo,euskara
Gersen,euskara
edo,euskara
hurbil,euskara
"erasoka,",euskara
une,euskara
horretan,euskara
frankoen,euskara
mende,euskara
zena.,euskara
Une,euskara
"horretatik,",euskara
baskoi,euskara
izenez,euskara
aipatzen,euskara
diren,euskara
herri,euskara
horiek,euskara
asaldatuta,euskara
zebiltzan.,euskara
[,euskara
60,euskara
],euskara
Eudon,euskara
Baskoniako,euskara
dukea,euskara
(printzea),euskara
"zela,",euskara
omeiatarrak,euskara
Iruñera,euskara
heldu,euskara
ziren,euskara
Ipar,euskara
Afrikatik,euskara
(714,euskara
"inguru),",euskara
711n,euskara
Roderiko,euskara
bisigodoa,euskara
hortxe,euskara
baskoien,euskara
kontra,euskara
borrokan,euskara
izan,euskara
ondoren.,euskara
[,euskara
61,euskara
],euskara
Karolingiar,euskara
dinastia,euskara
frankoen,euskara
agintari,euskara
gailendu,euskara
"zenean,",euskara
Akitania,euskara
eta,euskara
Baskoniaren,euskara
kontra,euskara
jo,euskara
"zuten,",euskara
eta,euskara
baskoiek,euskara
Pirinioetan,euskara
aurre,euskara
egin,euskara
zieten,euskara
778an,euskara
(Errozabal/Orreaga),euskara
.,euskara
[,euskara
62,euskara
],euskara
Antzeko,euskara
824ko,euskara
batailaren,euskara
"ondorioz,",euskara
Iruñeko,euskara
jaurerri,euskara
independentea,euskara
sortu,euskara
"zen,",euskara
Nafarroaren,euskara
"ernamuina,",euskara
Eneko,euskara
Enekoitz,euskara
(Eneko,euskara
Arista),euskara
buruzagi,euskara
nagusi,euskara
zuela.,euskara
"Horretarako,",euskara
Tuterako,euskara
senide,euskara
muladiak,euskara
izan,euskara
zituzten,euskara
"lagun,",euskara
Banu,euskara
Qasi,euskara
izena,euskara
hartu,euskara
zutenak.,euskara
[,euskara
63,euskara
],euskara
"""Erregearen",euskara
"Barga""",euskara
"urrunean,",euskara
Peñalen,euskara
:,euskara
Antso,euskara
IV.a,euskara
Gartzeitz,euskara
erregea,euskara
erail,euskara
zuten,euskara
lekua,euskara
Garesko,euskara
"zubia,",euskara
Donejakueko,euskara
bideen,euskara
elkargune,euskara
Foruen,euskara
zina,euskara
Gernikan,euskara
"(1476),",euskara
Mendietaren,euskara
margolana,euskara
Hurrengo,euskara
bi,euskara
mendeen,euskara
"gehienean,",euskara
Baskoniako,euskara
dukerriak,euskara
eta,euskara
Iruñeko,euskara
Erresumak,euskara
(905etik),euskara
dinamika,euskara
autonomo,euskara
bat,euskara
eraman,euskara
"zuten,",euskara
eta,euskara
Antso,euskara
II.a,euskara
Gartzeitzen,euskara
garaian,euskara
Nafarroak,euskara
eta,euskara
Baskoniako,euskara
dukerriak,euskara
harremanak,euskara
estutu,euskara
zituzten.,euskara
[,euskara
64,euskara
],euskara
Antso,euskara
III.a,euskara
Nagusiak,euskara
",",euskara
"""baskoien",euskara
"erregeak"",",euskara
bere,euskara
hedadura,euskara
handienera,euskara
eraman,euskara
zuen,euskara
Iruñeko,euskara
Erresuma,euskara
1032tik,euskara
1035era.,euskara
[,euskara
65,euskara
],euskara
Euskaldunen,euskara
lurralde,euskara
guztia,euskara
biltzen,euskara
"zuen,",euskara
beste,euskara
hainbat,euskara
lurralderekin,euskara
batera.,euskara
[,euskara
65,euskara
],euskara
1076an,euskara
",",euskara
"ordea,",euskara
Iruñeko,euskara
Erresumak,euskara
utzi,euskara
egin,euskara
zion,euskara
"existitzeari,",euskara
Antso,euskara
IV.a,euskara
Gartzeitz,euskara
Peñalengoa,euskara
senideek,euskara
erail,euskara
ondoren.,euskara
[,euskara
66,euskara
],euskara
Ia,euskara
urte,euskara
"berean,",euskara
Donejakue,euskara
bideko,euskara
kolonizazioa,euskara
hasi,euskara
"zen,",euskara
Clunyko,euskara
abadiak,euskara
bultzaturik.,euskara
"Iruñean,",euskara
arrotz,euskara
frankoentzako,euskara
burgu,euskara
berriak,euskara
sortu,euskara
ziren.,euskara
1073.,euskara
"urterako,",euskara
ordu,euskara
arteko,euskara
mozarabiar,euskara
erritu,euskara
kristaua,euskara
ere,euskara
baztertua,euskara
izaten,euskara
ari,euskara
zen,euskara
Araban,euskara
",",euskara
eta,euskara
Erromako,euskara
erritu,euskara
berriak,euskara
ordezkatu,euskara
zuen.,euskara
[,euskara
67,euskara
],euskara
Lapurdi,euskara
eta,euskara
Zuberoa,euskara
Iruñeko,euskara
Erresumaren,euskara
inguruan,euskara
hazi,euskara
ziren.,euskara
Nafarroako,euskara
Erresuma,euskara
nazioarteko,euskara
jokoan,euskara
1104tik,euskara
1134ra,euskara
Alfontso,euskara
Borrokalaria,euskara
Iruñea,euskara
eta,euskara
Aragoiko,euskara
erregeak,euskara
hegoalderako,euskara
zabalkunde,euskara
handia,euskara
hasi,euskara
"zuen,",euskara
eta,euskara
Ebro,euskara
ibaira,euskara
heldu:,euskara
"1119an,",euskara
Tutera,euskara
andalustarra,euskara
azpiratu,euskara
zuen.,euskara
Errege,euskara
hori,euskara
Lapurdi,euskara
nafarrentzat,euskara
berreskuratzen,euskara
ahalegindu,euskara
zen,euskara
"1131n,",euskara
Baionari,euskara
urtebetez,euskara
setioa,euskara
jarriz,euskara
Gilen,euskara
X.a,euskara
Akitaniakoaren,euskara
"kontra,",euskara
baina,euskara
ez,euskara
zuen,euskara
lortu,euskara
hura,euskara
hartzea.,euskara
[,euskara
68,euskara
],euskara
"1152an,",euskara
Baiona,euskara
eta,euskara
Lapurdi,euskara
Plantagenet,euskara
dinastiaren,euskara
Gaskoinian,euskara
sartuta,euskara
geratu,euskara
"ziren,",euskara
hiribildu,euskara
hori,euskara
merkataritza-hiri,euskara
garrantzitsu,euskara
bihurturik.,euskara
[,euskara
69,euskara
],euskara
"1134an,",euskara
ezegonkortasun,euskara
aldi,euskara
bat,euskara
ireki,euskara
"zen,",euskara
Iruñea-Aragoiko,euskara
erregetza,euskara
eskuratzeko.,euskara
Antso,euskara
Jakitunak,euskara
lortu,euskara
zuen,euskara
Zelestino,euskara
III.a,euskara
aita,euskara
santuak,euskara
Antso,euskara
erregetzat,euskara
ofizialki,euskara
"aitortzea,",euskara
almohadeekin,euskara
neutraltasuna,euskara
haustearen,euskara
truke,euskara
(1196ko,euskara
"martxoa),",euskara
baina,euskara
"1199-1201ean,",euskara
Alfontso,euskara
VIII.ak,euskara
Nafarroa,euskara
inbaditu,euskara
"zuen,",euskara
eta,euskara
euskal,euskara
erresumak,euskara
galdu,euskara
egin,euskara
zituen,euskara
"Gipuzkoa,",euskara
Araba,euskara
eta,euskara
Durangaldea,euskara
",",euskara
Gaztelaren,euskara
alde.,euskara
[,euskara
70,euskara
],euskara
Nafarroa,euskara
Behereko,euskara
eskualdeek,euskara
bat,euskara
egin,euskara
zuten,euskara
1178tik,euskara
1249ra,euskara
Nafarroako,euskara
Erresumarekin.,euskara
1234an,euskara
",",euskara
Nafarroako,euskara
errege-erreginen,euskara
leinuaren,euskara
azkena,euskara
izan,euskara
"zen,",euskara
oinordekorik,euskara
gabe,euskara
"geratzean,",euskara
eta,euskara
kanpoko,euskara
dinastiak,euskara
hasi,euskara
ziren,euskara
Nafarroan,euskara
agintzen:,euskara
Tibalt,euskara
I.a,euskara
Trobalaria,euskara
.,euskara
[,euskara
71,euskara
],euskara
Horrek,euskara
gatazka,euskara
harrotu,euskara
zuen,euskara
euskaldunen,euskara
eta,euskara
jatorri,euskara
arrotzeko,euskara
burgu,euskara
eta,euskara
agintarien,euskara
artean.,euskara
"Ondorioz,",euskara
1276an,euskara
",",euskara
Iruñeko,euskara
Nabarreria,euskara
suntsitua,euskara
izan,euskara
zen.,euskara
[,euskara
71,euskara
],euskara
Arku,euskara
Atlantikoko,euskara
itsas,euskara
trafikoa,euskara
sendotzen,euskara
ari,euskara
"zen,",euskara
bale,euskara
ehiza,euskara
eta,euskara
salerosketa,euskara
"bereziki,",euskara
eta,euskara
Gaztelako,euskara
erregeak,euskara
euskal,euskara
portuetara,euskara
zihoazen,euskara
bideak,euskara
sendotu,euskara
"zituen,",euskara
hiribildu,euskara
gehiago,euskara
sortuz,euskara
(1256):,euskara
Segura,euskara
",",euskara
Agurain,euskara
",",euskara
etab.,euskara
[,euskara
72,euskara
],euskara
Bandoen,euskara
gerrak,euskara
Jauntxo,euskara
askok,euskara
Al-Andaluseko,euskara
gerretan,euskara
parte,euskara
hartu,euskara
zuten,euskara
"eta,",euskara
Euskal,euskara
Herrira,euskara
"itzulita,",euskara
bandoen,euskara
arteko,euskara
gerra,euskara
piztu,euskara
"zen,",euskara
bi,euskara
taldetan:,euskara
agaramontarrak,euskara
eta,euskara
beaumontarrak,euskara
"Nafarroan,",euskara
eta,euskara
oinaztarrak,euskara
eta,euskara
ganboatarrak,euskara
"Araba,",euskara
"Bizkaia,",euskara
Gipuzkoa,euskara
eta,euskara
Lapurdin.,euskara
"Hortik,",euskara
Gaztelako,euskara
monarkak,euskara
atera,euskara
ziren,euskara
sendotuta.,euskara
[,euskara
69,euskara
],euskara
"1476an,",euskara
Elisabet,euskara
I.a,euskara
eta,euskara
Fernando,euskara
Trastamarakoa,euskara
errege-erreginak,euskara
hitzarmen,euskara
batera,euskara
heldu,euskara
ziren,euskara
Gaztelaren,euskara
peko,euskara
euskaldunekin.,euskara
"Bitartean,",euskara
errege,euskara
horrek,euskara
Nafarroako,euskara
Erresuma,euskara
de,euskara
facto,euskara
Gaztelaren,euskara
protektoratu,euskara
bihurtu,euskara
zuen,euskara
Tuterako,euskara
Hitzarmenaz,euskara
(1476an,euskara
"bertan),",euskara
[,euskara
73,euskara
],euskara
eta,euskara
hura,euskara
erabat,euskara
kontrolatzeko,euskara
taktika,euskara
politiko-militarrei,euskara
ekin,euskara
"zien,",euskara
Nafarroan,euskara
beaumontarrak,euskara
lagun,euskara
hartuta.,euskara
[,euskara
74,euskara
],euskara
"1454an,",euskara
Baiona,euskara
Frantziako,euskara
Koroaren,euskara
eskuetan,euskara
erori,euskara
zen.,euskara
Aro,euskara
Modernoa,euskara
Arrantzale,euskara
euskaldun,euskara
bat,euskara
itsasontzian,euskara
etzanda,euskara
Ternuara,euskara
bidean,euskara
Joana,euskara
III.a,euskara
nafar,euskara
erregina,euskara
(1555-1572),euskara
Mirandaolako,euskara
olagizonak,euskara
lanean,euskara
(egungo,euskara
itxurapena),euskara
1712ko,euskara
Euskal,euskara
Herriko,euskara
mapa,euskara
Nafarroako,euskara
Erresumaren,euskara
konkistatik,euskara
Ameriketara,euskara
Errege,euskara
Katolikoen,euskara
"interbentzioaz,",euskara
bandoen,euskara
gerra,euskara
amaitu,euskara
"zen,",euskara
eta,euskara
jauntxoen,euskara
dorretxeen,euskara
goialdeak,euskara
moztu,euskara
zituzten.,euskara
"1512an,",euskara
"berriz,",euskara
Fernando,euskara
Trastamarakoak,euskara
(Katolikoak),euskara
Nafarroako,euskara
Erresuma,euskara
inbaditzeko,euskara
agindu,euskara
zuen,euskara
azkenean.,euskara
[,euskara
75,euskara
],euskara
Kontraerasoak,euskara
eta,euskara
erresistentzia,euskara
izan,euskara
baziren,euskara
ere,euskara
(,euskara
Noaingo,euskara
gudua,euskara
",",euskara
Amaiurko,euskara
setioa,euskara
"),",euskara
Gaztela-Espainia,euskara
garaile,euskara
atera,euskara
zen,euskara
1528,euskara
arte,euskara
luzatu,euskara
zen,euskara
gerra,euskara
ia,euskara
etengabean.,euskara
Cisnerosek,euskara
erresumako,euskara
gaztelu,euskara
dorreak,euskara
eraisteko,euskara
agindu,euskara
zuen,euskara
(1516).,euskara
[,euskara
76,euskara
],euskara
Erresumaren,euskara
konkistari,euskara
errepresio,euskara
gogor,euskara
batek,euskara
jarraitu,euskara
"zion,",euskara
[,euskara
74,euskara
],euskara
eta,euskara
Nafarroako,euskara
lehen,euskara
"""sorgin",euskara
"ehizak""",euskara
hasi,euskara
ziren,euskara
(1525).,euskara
[,euskara
77,euskara
],euskara
Henrike,euskara
II.a,euskara
nafar,euskara
errege-erreginen,euskara
premuak,euskara
Pirinioez,euskara
iparraldeko,euskara
Nafarroako,euskara
Erresuma,euskara
independenteari,euskara
eman,euskara
zion,euskara
"hasiera,",euskara
Bearnoko,euskara
printzerriari,euskara
"lotua,",euskara
Erromaren,euskara
dogmei,euskara
eta,euskara
politikei,euskara
"aurkajarria,",euskara
erreformista.,euskara
[,euskara
78,euskara
],euskara
Hala,euskara
"ere,",euskara
Nafarroa,euskara
Garaiak,euskara
ez,euskara
zituen,euskara
galdu,euskara
bere,euskara
ordu,euskara
arteko,euskara
erakundeak.,euskara
Hala,euskara
Nafarroa,euskara
"Garaian,",euskara
nola,euskara
"Araba,",euskara
Bizkai,euskara
eta,euskara
Gipuzkoan,euskara
aldundiak,euskara
sortu,euskara
ziren.,euskara
"Bitartean,",euskara
Gaztelako,euskara
errege-erreginek,euskara
"eta,",euskara
"gero,",euskara
Karlos,euskara
V.a,euskara
enperadoreak,euskara
diruz,euskara
lagundu,euskara
zituzten,euskara
hasieran,euskara
Bidasoaz,euskara
mendebaldeko,euskara
euskal,euskara
ontziolak,euskara
.,euskara
Burdinolen,euskara
aurrerabide,euskara
teknologikoak,euskara
ere,euskara
itsasontzigintza,euskara
hauspotu,euskara
zuen;,euskara
euskaldunek,euskara
Ternuan,euskara
baseak,euskara
ezarri,euskara
ere,euskara
"zituzten,",euskara
bale,euskara
ehiza,euskara
eta,euskara
bakailao,euskara
arrantzaren,euskara
epelean.,euskara
[,euskara
79,euskara
],euskara
Ipar,euskara
Atlantikoko,euskara
euskaldunen,euskara
arrantza,euskara
eta,euskara
merkataritza,euskara
bere,euskara
gorenera,euskara
heldu,euskara
"zen,",euskara
eta,euskara
"Ameriketara,",euskara
oro,euskara
"har,",euskara
hedatu,euskara
"ziren,",euskara
XVI.,euskara
mendean,euskara
Atlantiko,euskara
Itsasoko,euskara
nagusi,euskara
bihurtzeraino.,euskara
[,euskara
80,euskara
],euskara
"Bestalde,",euskara
euskaldun,euskara
asko,euskara
Karlos,euskara
V.aren,euskara
Ameriketako,euskara
inperio,euskara
berrira,euskara
erbesteratzen,euskara
hasi,euskara
ziren,euskara
bizitza,euskara
hobe,euskara
baten,euskara
bila.,euskara
Lehen,euskara
garai,euskara
"honetan,",euskara
Gaztelako,euskara
Koroaren,euskara
banderapean,euskara
zenbait,euskara
pertsonaia,euskara
ezagun,euskara
heldu,euskara
ziren,euskara
Ameriketara:,euskara
Lope,euskara
Agirre,euskara
",",euskara
Petri,euskara
Urtsua,euskara
",",euskara
Juan,euskara
Garai,euskara
",",euskara
Juan,euskara
Zumarraga,euskara
",",euskara
etab.,euskara
Fortuna,euskara
hobearen,euskara
bila,euskara
joandako,euskara
euskaldunek,euskara
artoa,euskara
ekarri,euskara
"zuten,",euskara
besteak,euskara
"beste,",euskara
ordu,euskara
arte,euskara
erein,euskara
gabeko,euskara
lurren,euskara
lanketa,euskara
eta,euskara
demografia,euskara
hazkundea,euskara
sustatu,euskara
zuena.,euskara
Aldi,euskara
"berean,",euskara
baserrien,euskara
eraikuntzak,euskara
ugaldu,euskara
egin,euskara
ziren.,euskara
[,euskara
79,euskara
],euskara
Jazarpenaren,euskara
"itzalean,",euskara
itsasoari,euskara
begira,euskara
"Aldiz,",euskara
Ameriketarako,euskara
kontratazio,euskara
etxea,euskara
Sevilla,euskara
eta,euskara
Cadizera,euskara
aldatzeak,euskara
eta,euskara
erregeen,euskara
gerrarako,euskara
deiek,euskara
(bertan,euskara
behera,euskara
uzten,euskara
zituzten,euskara
arrantza,euskara
"kanpainak,",euskara
eta,euskara
itsasontziak,euskara
"konfiskatzen),",euskara
handiena,euskara
Itsas,euskara
Armada,euskara
Garaiezina,euskara
"(1588),",euskara
kinka,euskara
batean,euskara
jarri,euskara
zuten,euskara
euskal,euskara
itsas,euskara
jarduera,euskara
Bidasoaz,euskara
mendebaldera;,euskara
"koroak,",euskara
"gainera,",euskara
zerga,euskara
berriak,euskara
ezarri,euskara
zituen.,euskara
[,euskara
81,euskara
],euskara
Lehia,euskara
handia,euskara
zen,euskara
euskal,euskara
portuen,euskara
"artean,",euskara
Baiona,euskara
",",euskara
Donostia,euskara
eta,euskara
Bilbo,euskara
"bereziki,",euskara
Gaztela,euskara
eta,euskara
Nafarroako,euskara
(eta,euskara
gutxiago,euskara
Aragoiko),euskara
artile,euskara
eta,euskara
beste,euskara
ondasun,euskara
batzuen,euskara
trafikoa,euskara
itsasoratzeko.,euskara
Donostiako,euskara
Udalak,euskara
bere,euskara
diru,euskara
kutxa,euskara
hutsak,euskara
"betetzeko,",euskara
zerga,euskara
berriak,euskara
ezarri,euskara
zizkien,euskara
porturatutako,euskara
"salgaiei,",euskara
Aturri,euskara
ibaia,euskara
berriz,euskara
hasi,euskara
zen,euskara
Baionan,euskara
itsasoratzen,euskara
"eta,",euskara
"ondorioz,",euskara
Nafarroako,euskara
merkataritzaren,euskara
trafiko,euskara
nagusia,euskara
Baionara,euskara
bideratu,euskara
zen.,euskara
[,euskara
82,euskara
],euskara
"Bitartean,",euskara
Joana,euskara
Albretekoa,euskara
erreginaren,euskara
Nafarroak,euskara
kultura,euskara
eta,euskara
politika,euskara
dinamismo,euskara
handiko,euskara
estatu,euskara
bihurtu,euskara
"zen,",euskara
bi,euskara
erresuma,euskara
handiren,euskara
artean,euskara
kolokan;,euskara
izan,euskara
"ere,",euskara
Frantzia,euskara
eta,euskara
Gaztelako,euskara
Koroek,euskara
beren,euskara
zentralizazio,euskara
ahaleginak,euskara
areagotu,euskara
"zituzten,",euskara
foruen,euskara
kontra,euskara
talka,euskara
eginez.,euskara
1620,euskara
Nafarroako,euskara
Erresuma-Biarnoren,euskara
azkena,euskara
izan,euskara
"zen,",euskara
Luis,euskara
XII.a,euskara
errege,euskara
frantsesak,euskara
",",euskara
armada,euskara
baten,euskara
"buruan,",euskara
Pauen,euskara
Nafarroa,euskara
Frantziako,euskara
lurraldeei,euskara
lotzeko,euskara
agindu,euskara
zuenean.,euskara
Bale,euskara
ehizaren,euskara
epelean,euskara
",",euskara
Lapurdik,euskara
oparoaldia,euskara
bizi,euskara
"zuen,",euskara
idazlanen,euskara
argitalpenean,euskara
islatu,euskara
zena.,euskara
Henrike,euskara
IV.ak,euskara
(Nafarroako,euskara
III.ak),euskara
Pierre,euskara
de,euskara
Lancre,euskara
epailea,euskara
bidali,euskara
zuen,euskara
"""sorgin",euskara
"ehizara""",euskara
bertara,euskara
1609an;,euskara
jazarpenaren,euskara
izua,euskara
Zugarramurdira,euskara
zabaldu,euskara
zen,euskara
ia,euskara
"berehala,",euskara
ordurakoan,euskara
Inkisizioaren,euskara
eskutik.,euskara
1631tik,euskara
"1634ra,",euskara
"berriz,",euskara
Gatzaren,euskara
Matxinada,euskara
piztu,euskara
zen,euskara
Bizkaian,euskara
",",euskara
espekulazioaren,euskara
kontra.,euskara
Absolutismoaren,euskara
goraldia,euskara
Koroak,euskara
begiz,euskara
jota,euskara
baitzituen,euskara
herri,euskara
"lurrak,",euskara
jauntxoen,euskara
artean,euskara
"banatuz,",euskara
1659an,euskara
Matalaz,euskara
horren,euskara
kontra,euskara
altxa,euskara
zen,euskara
Zuberoan,euskara
.,euskara
Hurrengo,euskara
"urtean,",euskara
hura,euskara
"zapalduta,",euskara
Frantziako,euskara
eta,euskara
Gaztelako,euskara
Koroak,euskara
Pirinioetako,euskara
Hitzarmena,euskara
sinatu,euskara
"zuten,",euskara
Nafarroaren,euskara
inguruko,euskara
auzia,euskara
itxiz.,euskara
Europako,euskara
erregeek,euskara
sinatutako,euskara
Utretchtko,euskara
Ituna,euskara
(1713),euskara
kaltegarria,euskara
izan,euskara
zen,euskara
euskal,euskara
marinelentzat,euskara
[,euskara
83,euskara
],euskara
eta,euskara
handik,euskara
"gutxira,",euskara
"gainera,",euskara
Filipe,euskara
V.a,euskara
Borboi,euskara
erregeak,euskara
aduanak,euskara
Ebrotik,euskara
Pirinioetara,euskara
eta,euskara
itsasora,euskara
eramateko,euskara
egindako,euskara
ahaleginak,euskara
matxinada,euskara
piztu,euskara
zuen,euskara
1718an,euskara
.,euskara
Aduanak,euskara
",",euskara
"baina,",euskara
Ebrora,euskara
leheneratu,euskara
ziren,euskara
"eta,",euskara
lortutako,euskara
hitzarmenaren,euskara
ondorioz,euskara
"(1727),",euskara
Caracasko,euskara
Gipuzkoar,euskara
Konpainia,euskara
sortu,euskara
"zen,",euskara
joera,euskara
politiko-ekonomiko,euskara
berrien,euskara
haritik,euskara
.,euskara
Hurrengo,euskara
"urteetan,",euskara
Ilustrazioa,euskara
zabaldu,euskara
zen,euskara
Euskal,euskara
"Herrian,",euskara
Uztaritzen,euskara
"adibidez,",euskara
eta,euskara
Euskalerrriaren,euskara
Adiskideen,euskara
Elkartea,euskara
sortu,euskara
zen,euskara
"(1765),",euskara
Jesusen,euskara
Konpainiaren,euskara
kaltetan,euskara
",",euskara
1766an,euskara
kanporatua,euskara
izan,euskara
"baitzen,",euskara
urte,euskara
bereko,euskara
matxinadaren,euskara
ostean.,euskara
1766,euskara
eta,euskara
"1768an,",euskara
Karlos,euskara
III.a,euskara
erregeak,euskara
emandako,euskara
agindu,euskara
batek,euskara
gaztelania,euskara
